,Player,GSAA,Cap_Hit_Difference_From_Avg,Years,Wins_Above_Average,Avg_Wins_Above_Average
1,Aaron Dell,-13.58,-1526755.5,2,-4.53,-2.27
2,Alexandar Georgiev,12.11,-41787.01,5,4.04,0.81
3,Anders Nilsson,-0.55,-836319.0,1,-0.18,-0.18
4,Andrei Vasilevskiy,63.4,1298770.46,6,21.13,3.52
5,Anton Khudobin,32.51,-442500.17,3,10.84,3.61
6,Ben Bishop,24.52,1489911.5,2,8.17,4.08
7,Braden Holtby,-19.63,-23910.96,4,-6.54,-1.64
8,Brian Elliott,-24.84,-828593.71,4,-8.28,-2.07
9,Cam Talbot,0.02,-377271.2,6,0.01,0.0
10,Cam Ward,-0.44,-336319.0,1,-0.15,-0.15
11,Carey Price,13.1,4613055.5,3,4.37,1.46
12,Carter Hart,-9.3,116511.2,6,-3.1,-0.52
13,Carter Hutton,-9.52,-676755.5,2,-3.17,-1.58
14,Casey DeSmith,11.37,-1204146.5,3,3.79,1.26
15,Connor Hellebuyck,71.13,602474.23,6,23.71,3.95
16,Corey Crawford,4.19,2573244.5,2,1.4,0.7
17,Cory Schneider,-5.34,2663681.0,1,-1.78,-1.78
18,Craig Anderson,-31.65,-496617.71,4,-10.55,-2.64
19,Curtis McElhinney,1.02,-2486319.0,1,0.34,0.34
20,Darcy Kuemper,21.1,388631.57,6,7.03,1.17
21,David Rittich,5.62,-1651755.5,2,1.87,0.94
22,Devan Dubnyk,-12.61,906577.5,2,-4.2,-2.1
23,Frederik Andersen,20.3,389731.74,5,6.77,1.35
24,Henrik Lundqvist,2.3,5073244.5,2,0.77,0.39
25,Jack Campbell,1.61,219315.08,5,0.54,0.11
26,Jake Allen,-14.46,-38184.92,5,-4.82,-0.96
27,James Reimer,-32.01,-226101.59,5,-10.67,-2.13
28,Jimmy Howard,-7.48,1219077.5,2,-2.49,-1.25
29,John Gibson,-9.57,646687.12,6,-3.19,-0.53
30,Jonathan Bernier,-0.9,-386944.5,3,-0.3,-0.1
31,Jonathan Quick,-30.95,1086715.62,4,-10.32,-2.58
32,Joonas Korpisalo,-1.94,-25973.88,5,-0.65,-0.13
33,Jordan Binnington,4.77,552728.79,6,1.59,0.27
34,Juuse Saros,69.49,333492.68,6,23.16,3.86
35,Keith Kinkaid,-15.76,-2086319.0,1,-5.25,-5.25
36,Linus Ullmark,51.83,405212.99,5,17.28,3.46
37,Louis Domingue,-4.4,-2186319.0,1,-1.47,-1.47
38,Mackenzie Blackwood,-6.85,-289245.66,5,-2.28,-0.46
39,Malcolm Subban,-2.74,-2686319.0,1,-0.91,-0.91
40,Martin Jones,-81.29,-210268.26,5,-27.1,-5.42
41,Matt Murray,-4.27,1019322.96,4,-1.42,-0.35
42,Mike Smith,-15.23,-396133.17,4,-5.08,-1.27
43,Mikko Koskinen,-15.3,401089.04,4,-5.1,-1.27
44,Pekka Rinne,15.53,1279722.17,3,5.18,1.73
45,Pheonix Copley,-0.05,-2490208.0,2,-0.02,-0.01
46,Philipp Grubauer,-3.62,684176.18,5,-1.21,-0.24
47,Roberto Luongo,-12.89,1997014.0,1,-4.3,-4.3
48,Robin Lehner,20.59,549292.83,3,6.86,2.29
49,Semyon Varlamov,19.56,522231.74,5,6.52,1.3
50,Sergei Bobrovsky,-7.65,1418805.18,6,-2.55,-0.42
