"","Player","Team","GP","TOI","Shots Against","Saves","Goals Against","SV%","GAA","GSAA","xG Against"
"31","Juuse Saros","NSH","36","1650.5166666667","853","809","44","0.948","1.60","26.51","64.85"
"34","Alex Nedeljkovic","CAR","23","1130.4333333333","523","494","29","0.945","1.54","14.23","40.43"
"27","Chris Driedger","FLA","23","1070.0333333333","498","469","29","0.942","1.63","12.17","37.14"
"11","Semyon Varlamov","NYI","36","1766.7666666667","831","779","52","0.937","1.77","16.70","60.76"
"25","Andrei Vasilevskiy","T.B","42","1975.3833333333","974","909","65","0.933","1.97","15.52","71.77"
"2","Marc-Andre Fleury","VGK","36","1750.5333333333","819","761","58","0.929","1.99","9.70","69.75"
"4","Thomas Greiss","DET","34","1424.5666666667","692","642","50","0.928","2.11","7.21","48.47"
"20","Jack Campbell","TOR","22","1046.3333333333","459","426","33","0.928","1.89","4.94","36.1"
"1","Mike Smith","EDM","32","1522.4666666667","737","683","54","0.927","2.13","6.93","57.05"
"39","Igor Shesterkin","NYR","35","1511.45","786","729","57","0.927","2.26","7.98","63.62"
"18","Cam Talbot","MIN","33","1569.65","785","727","58","0.926","2.22","6.89","55.96"
"7","Carey Price","MTL","25","1203.4","491","454","37","0.925","1.84","3.59","38.48"
"29","Connor Hellebuyck","WPG","45","2114.2666666667","1041","963","78","0.925","2.21","8.06","89.98"
"43","Kevin Lankinen","CHI","37","1758.6666666667","960","887","73","0.924","2.49","6.36","75.39"
"10","Jonathan Bernier","DET","24","1058.4166666667","623","575","48","0.923","2.72","3.50","49.53"
"32","Tristan Jarry","PIT","39","1809.7166666667","888","820","68","0.923","2.25","5.41","66.06"
"33","Thatcher Demko","VAN","35","1663.0333333333","901","832","69","0.923","2.49","5.48","75.91"
"9","James Reimer","CAR","22","1036.4","479","441","38","0.921","2.20","1.60","38.78"
"21","Philipp Grubauer","COL","40","1864.05","738","680","58","0.921","1.87","3.01","56.27"
"23","Jordan Binnington","STL","42","1999.9333333333","946","871","75","0.921","2.25","3.20","77.3"
"5","Anton Khudobin","DAL","32","1446.1166666667","599","551","48","0.920","1.99","1.52","43"
"22","Frederik Andersen","TOR","24","1158.4666666667","537","494","43","0.920","2.23","1.39","43.65"
"30","Cal Petersen","L.A","35","1646.7166666667","821","755","66","0.920","2.40","1.87","69.11"
"36","Elvis Merzlikins","CBJ","28","1266.3","696","640","56","0.920","2.65","1.54","49.03"
"37","Ilya Sorokin","NYI","22","1027.6166666667","476","438","38","0.920","2.22","1.35","36.29"
"42","Jake Oettinger","DAL","29","1321.4666666667","562","517","45","0.920","2.04","1.46","43.97"
"6","Pekka Rinne","NSH","24","1029.6833333333","519","477","42","0.919","2.45","0.90","34.92"
"24","John Gibson","ANA","35","1667.2333333333","840","771","69","0.918","2.48","0.44","71.62"
"35","Vitek Vanecek","WSH","37","1715.15","842","773","69","0.918","2.41","0.61","60.85"
"8","Tuukka Rask","BOS","24","1108.05","472","433","39","0.917","2.11","0.02","36.88"
"12","Jacob Markstrom","CGY","43","1970.4","894","820","74","0.917","2.25","-0.10","66.86"
"19","Sergei Bobrovsky","FLA","31","1412.9","695","635","60","0.914","2.55","-2.55","51.15"
"40","Mackenzie Blackwood","N.J","35","1709.3166666667","868","793","75","0.914","2.63","-3.25","66.63"
"13","Jake Allen","MTL","29","1363.65","628","573","55","0.912","2.42","-3.09","49.07"
"17","Darcy Kuemper","ARI","27","1221.9333333333","529","482","47","0.911","2.31","-3.27","41.97"
"38","Kaapo Kahkonen","MIN","24","1125.4","545","495","50","0.908","2.67","-4.95","38.58"
"15","Martin Jones","S.J","34","1477.75","749","679","70","0.907","2.84","-8.08","61.44"
"28","Joonas Korpisalo","CBJ","33","1455.7333333333","745","674","71","0.905","2.93","-9.41","58.22"
"16","Mikko Koskinen","EDM","26","1169.3166666667","606","547","59","0.903","3.03","-8.90","46.21"
"26","Matt Murray","OTT","27","1093.85","579","522","57","0.902","3.13","-9.14","44.87"
"3","Brian Elliott","PHI","30","1301","590","528","62","0.895","2.86","-13.23","44.39"
"14","Braden Holtby","VAN","21","1021.15","573","511","62","0.892","3.64","-14.63","48.27"
"41","Carter Hart","PHI","27","1157.2","568","504","64","0.887","3.32","-17.05","42.73"
