Player,Signing_Date,Cap_Hit
1. Carey Price,"Jul. 2, 2017","$10,500,000"
2. Sergei Bobrovsky,"Jul. 1, 2019","$10,000,000"
3. Henrik Lundqvist,"Dec. 4, 2013","$8,500,000"
4. Marc-André Fleury,"Jul. 13, 2018","$7,000,000"
5. Tuukka Rask,"Jul. 10, 2013","$7,000,000"
6. John Gibson,"Aug. 4, 2018","$6,400,000"
7. Connor Hellebuyck,"Jul. 12, 2018","$6,166,667"
8. Braden Holtby,"Jul. 24, 2015","$6,100,000"
9. Corey Crawford,"Sep. 2, 2013","$6,000,000"
10. Jonathan Quick,"Jul. 1, 2012","$5,800,000"
11. Martin Jones,"Jul. 1, 2017","$5,750,000"
12. Semyon Varlamov,"Jul. 1, 2019","$5,000,000"
13. Robin Lehner,"Jul. 1, 2019","$5,000,000"
14. Pekka Rinne,"Nov. 3, 2018","$5,000,000"
15. Frederik Andersen,"Jun. 20, 2016","$5,000,000"
16. Ben Bishop,"May 12, 2017","$4,916,667"
17. Craig Anderson,"Sep. 29, 2017","$4,750,000"
18. Mikko Koskinen,"Jan. 21, 2019","$4,500,000"
19. Jordan Binnington,"Jul. 13, 2019","$4,400,000"
20. Jake Allen,"Jul. 1, 2016","$4,350,000"
21. Devan Dubnyk,"Jun. 27, 2015","$4,333,333"
22. Antti Raanta,"Apr. 6, 2018","$4,250,000"
23. Jimmy Howard,"Mar. 20, 2019","$4,000,000"
24. Matt Murray,"Oct. 20, 2016","$3,750,000"
25. Jacob Markström,"Jul. 7, 2016","$3,666,667"
26. Andrei Vasilevskiy,"Jul. 1, 2016","$3,500,000"
27. James Reimer,"Jul. 1, 2016","$3,400,000"
28. Philipp Grubauer,"Jun. 23, 2018","$3,333,333"
29. Thomas Greiss,"Jan. 30, 2017","$3,333,333"
30. Petr Mrázek,"Jul. 1, 2019","$3,125,000"
31. Jonathan Bernier,"Jul. 1, 2018","$3,000,000"
32. David Rittich,"Jul. 27, 2019","$2,750,000"
33. Cam Talbot,"Jul. 1, 2019","$2,750,000"
34. Jaroslav Halák,"Jul. 1, 2018","$2,750,000"
35. Carter Hutton,"Jul. 1, 2018","$2,750,000"
36. Anders Nilsson,"May 29, 2019","$2,600,000"
37. Anton Khudobin,"Jul. 1, 2018","$2,500,000"
38. Mike Smith,"Jul. 1, 2019","$2,000,000"
39. Brian Elliott,"Jun. 26, 2019","$2,000,000"
40. Aaron Dell,"Feb. 28, 2018","$1,900,000"
41. Darcy Kuemper,"Feb. 21, 2018","$1,850,000"
42. Juuse Saros,"Jul. 16, 2018","$1,500,000"
43. Linus Ullmark,"Aug. 3, 2019","$1,325,000"
44. Joonas Korpisalo,"Jul. 1, 2019","$1,150,000"
45. Ryan Miller,"Jun. 20, 2019","$1,125,000"
46. Thatcher Demko,"Apr. 24, 2019","$1,050,000"
47. Pavel Francouz,"May 24, 2019","$950,000"
48. Ilya Samsonov,"May 3, 2018","$925,000"
49. Elvis Merzlikins,"May 15, 2019","$874,125"
50. Malcolm Subban,"Jul. 9, 2019","$850,000"
51. Alexandar Georgiev,"Jul. 17, 2017","$792,500"
52. Alex Stalock,"Jan. 29, 2019","$785,000"
53. Carter Hart,"Oct. 2, 2016","$730,833"
54. Marcus Högberg,"Jun. 19, 2019","$700,000"
55. Mackenzie Blackwood,"Dec. 30, 2015","$697,500"
56. Tristan Jarry,"Jul. 26, 2018","$675,000"
57. Jack Campbell,"Nov. 22, 2017","$675,000"
