Player,Cap_Hit
1. Connor McDavid,"$12,500,000"
2. Artemi Panarin,"$11,642,857"
3. Auston Matthews,"$11,640,250"
4. Erik Karlsson,"$11,500,000"
5. Drew Doughty,"$11,000,000"
6. John Tavares,"$11,000,000"
7. Mitchell Marner,"$10,903,000"
8. Jonathan Toews,"$10,500,000"
9. Patrick Kane,"$10,500,000"
10. Aleksander Barkov,"$10,000,000"
11. Sergei Bobrovsky,"$10,000,000"
12. Jack Eichel,"$10,000,000"
13. Anze Kopitar,"$10,000,000"
14. Tyler Seguin,"$9,850,000"
15. Johnny Gaudreau,"$9,750,000"
16. Matthew Tkachuk,"$9,500,000"
17. Adam Fox,"$9,500,000"
18. Charlie McAvoy,"$9,500,000"
19. Brayden Point,"$9,500,000"
20. Alex Ovechkin,"$9,500,000"
21. Seth Jones,"$9,500,000"
22. Andrei Vasilevskiy,"$9,500,000"
23. Mark Stone,"$9,500,000"
24. Nikita Kucherov,"$9,500,000"
25. Jamie Benn,"$9,500,000"
26. Darnell Nurse,"$9,250,000"
27. Mikko Rantanen,"$9,250,000"
28. Roman Josi,"$9,059,000"
29. Kirill Kaprizov,"$9,000,000"
30. Dougie Hamilton,"$9,000,000"
31. Cale Makar,"$9,000,000"
32. Jeff Skinner,"$9,000,000"
33. Alex Pietrangelo,"$8,800,000"
34. Patrik Laine,"$8,700,000"
35. Sidney Crosby,"$8,700,000"
36. Filip Forsberg,"$8,500,000"
37. Mika Zibanejad,"$8,500,000"
38. Leon Draisaitl,"$8,500,000"
39. Steven Stamkos,"$8,500,000"
40. Sebastian Aho,"$8,460,250"
41. Miro Heiskanen,"$8,450,000"
42. Blake Wheeler,"$8,250,000"
43. Oliver Ekman-Larsson,"$8,250,000"
44. Brady Tkachuk,"$8,205,714"
45. Tomas Hertl,"$8,137,500"
46. Jack Hughes,"$8,000,000"
47. Thomas Chabot,"$8,000,000"
48. Jacob Trouba,"$8,000,000"
49. Matt Duchene,"$8,000,000"
50. Logan Couture,"$8,000,000"
51. Ryan Johansen,"$8,000,000"
52. Brent Burns,"$8,000,000"
53. Kevin Fiala,"$7,875,000"
54. Nick Suzuki,"$7,875,000"
55. Victor Hedman,"$7,875,000"
56. Quinn Hughes,"$7,850,000"
57. Evgeny Kuznetsov,"$7,800,000"
58. Jason Robertson,"$7,750,000"
59. Andrei Svechnikov,"$7,750,000"
