"","Player","Team","GP","TOI","Shots Against","Saves","Goals Against","SV%","GAA","GSAA","xG Against"
"11","Anton Khudobin","DAL","30","1329.6833333333","673","637","36","0.947","1.62","18.62","45.76"
"14","Tuukka Rask","BOS","41","1855.8333333333","871","820","51","0.941","1.65","19.69","60.46"
"32","Philipp Grubauer","COL","36","1611.4333333333","815","762","53","0.935","1.97","13.14","60.35"
"22","Jake Allen","STL","24","1094","533","498","35","0.934","1.92","8.26","40.74"
"27","Darcy Kuemper","ARI","29","1432.45","725","676","49","0.932","2.05","9.84","54.66"
"48","Elvis Merzlikins","CBJ","33","1563.1166666667","784","730","54","0.931","2.07","9.63","56.04"
"41","Linus Ullmark","BUF","34","1627.5833333333","829","771","58","0.930","2.14","9.28","58.4"
"40","Connor Hellebuyck","WPG","58","2701","1458","1354","104","0.929","2.31","14.33","120.56"
"37","Andrei Vasilevskiy","T.B","52","2468.8166666667","1217","1128","89","0.927","2.16","9.77","86.03"
"46","Tristan Jarry","PIT","33","1566.1333333333","794","736","58","0.927","2.22","6.44","57.66"
"50","Ilya Samsonov","WSH","26","1086.1","534","495","39","0.927","2.15","4.34","42.53"
"5","Corey Crawford","CHI","40","1897.5666666667","1066","987","79","0.926","2.50","7.52","85.51"
"26","Robin Lehner","CHI, VGK","36","1645.7833333333","971","899","72","0.926","2.62","6.81","74.53"
"39","Joonas Korpisalo","CBJ","37","1693.8","792","733","59","0.926","2.09","5.28","56.83"
"49","Mackenzie Blackwood","N.J","47","2093.3333333333","1151","1066","85","0.926","2.44","8.41","89.15"
"21","Jacob Markstrom","VAN","43","1966.6833333333","1117","1033","84","0.925","2.56","6.65","87.62"
"29","Cam Talbot","CGY","26","1170.1166666667","651","602","49","0.925","2.51","3.83","48.02"
"54","Pavel Francouz","COL","34","1491.5666666667","789","730","59","0.925","2.37","5.03","54.86"
"7","Jaroslav Halak","BOS","31","1460.6","714","660","54","0.924","2.22","3.95","53.16"
"16","Ben Bishop","DAL","44","1957.9","969","895","74","0.924","2.27","4.64","74.23"
"20","Semyon Varlamov","NYI","45","2066.6","1026","948","78","0.924","2.26","5.27","82.82"
"25","Mikko Koskinen","EDM","38","1702.8666666667","943","871","72","0.924","2.54","4.53","76.13"
"43","Antti Raanta","ARI","33","1447.1666666667","800","739","61","0.924","2.53","3.93","61.76"
"35","Jordan Binnington","STL","50","2366.7166666667","1092","1008","84","0.923","2.13","4.63","90.09"
"10","Thomas Greiss","NYI","31","1304.3333333333","709","654","55","0.922","2.53","2.54","52.99"
"17","Alex Stalock","MIN","38","1714.35","847","780","67","0.921","2.34","1.74","57.33"
"19","Jonathan Bernier","DET","46","2026.5166666667","1023","942","81","0.921","2.40","2.03","81.84"
"12","Pekka Rinne","NSH","36","1575.4666666667","802","738","64","0.920","2.44","1.09","61.84"
"18","James Reimer","CAR","25","1072.3166666667","540","497","43","0.920","2.41","0.83","44.51"
"45","Juuse Saros","NSH","40","1720.9833333333","882","811","71","0.920","2.48","0.58","67.35"
"51","Carter Hart","PHI","43","1880.9","889","818","71","0.920","2.26","1.15","72.2"
"13","Carey Price","MTL","58","2819.15","1371","1260","111","0.919","2.36","0.27","101.64"
"1","Craig Anderson","OTT","34","1458.75","801","735","66","0.918","2.71","-0.99","63.69"
"31","Jack Campbell","L.A, TOR","26","1293.1666666667","621","570","51","0.918","2.37","-0.60","48.38"
"53","Alexandar Georgiev","NYR","34","1478.2166666667","791","726","65","0.918","2.64","-0.80","65.32"
"2","Henrik Lundqvist","NYR","30","1260.8833333333","663","608","55","0.917","2.62","-1.19","58.92"
"28","Carter Hutton","BUF","31","1488.3333333333","750","687","63","0.916","2.54","-2.13","59.49"
"44","Marcus Hogberg","OTT","24","1093.85","585","536","49","0.916","2.69","-1.52","46.78"
"52","David Rittich","CGY","48","2215.5833333333","1149","1052","97","0.916","2.63","-3.75","89.51"
"4","Marc-Andre Fleury","VGK","49","2301.8833333333","1098","1005","93","0.915","2.42","-3.89","84.42"
"15","Jonathan Quick","L.A","42","2052.7166666667","974","891","83","0.915","2.43","-3.95","80.68"
"34","Frederik Andersen","TOR","52","2457.7333333333","1251","1145","106","0.915","2.59","-4.47","96.86"
"36","John Gibson","ANA","51","2411.4166666667","1273","1164","109","0.914","2.71","-5.68","107.38"
"33","Petr Mrazek","CAR","40","1831.7333333333","857","782","75","0.912","2.46","-5.45","72.35"
"42","Aaron Dell","S.J","33","1508","779","710","69","0.911","2.75","-5.78","64.66"
"8","Brian Elliott","PHI","31","1308.8166666667","633","575","58","0.908","2.66","-6.63","49.44"
"47","Thatcher Demko","VAN","27","1223.9833333333","641","582","59","0.908","2.89","-6.98","52.67"
"30","Sergei Bobrovsky","FLA","50","2245.6","1173","1064","109","0.907","2.91","-13.80","98.12"
"23","Braden Holtby","WSH","48","2108.8333333333","1088","985","103","0.905","2.93","-14.70","88.22"
"38","Matt Murray","PIT","38","1790.85","837","757","80","0.904","2.68","-12.07","64.51"
"9","Devan Dubnyk","MIN","30","1330.6833333333","660","596","64","0.903","2.89","-10.43","44.69"
"3","Mike Smith","EDM","39","1747.1333333333","847","762","85","0.900","2.92","-16.26","66.15"
"6","Jimmy Howard","DET","27","1114.3","646","579","67","0.896","3.61","-14.57","48.32"
"24","Martin Jones","S.J","41","1842.9666666667","860","767","93","0.892","3.03","-23.20","74.31"
